CWE;Project Name;Frequency;Owner
None;commons-collections;7;apache
CWE-22;mojarra;1;eclipse-ee4j
NVD-CWE-noinfo;credhub;2;cloudfoundry-incubator
CWE-310;santuario-java;1;apache
CWE-20;vert.x;1;eclipse
CWE-200;jboss-seam;1;seam2
CWE-345;tomcat85;1;apache
CWE-417;spring-security;1;spring-projects
CWE-611;spring-framework;2;spring-projects
CWE-94;struts;16;apache
None;geode;1;apache
CWE-611;pippo;1;pippo-java
CWE-284;jetty.project;1;eclipse
CWE-1021;nifi;1;apache
CWE-200;tomcat55;1;apache
NVD-CWE-noinfo;struts1-forever;1;kawasima
CWE-264;base;1;platform
NVD-CWE-noinfo;jetty.project;3;eclipse
CWE-835;poi;4;apache
CWE-119;vert.x;1;eclipse-vertx
None;axis2-java;2;apache
CWE-352;jackrabbit;13;apache
CWE-79;jsoup;1;jhy
CWE-255;subversion-plugin;1;jenkinsci
CWE-345;spring-security;1;spring-projects
CWE-835;tomcat;1;apache
CWE-522;build-publisher-plugin;2;jenkinsci
CWE-863;uaa;5;cloudfoundry
CWE-611;restlet-framework-java;2;restlet
CWE-78;xstream;1;x-stream
CWE-22;jenkins;5;jenkinsci
CWE-200;xstream;8;x-stream
CWE-269;pljava;1;tada
CWE-295;thrift;1;apache
CWE-918;camel;5;apache
CWE-444;jetty.project;1;eclipse
CWE-264;activemq;1;apache
CWE-254;activemq;2;apache
CWE-22;lucene-solr;5;apache
CWE-77;struts;1;apache
CWE-502;pippo;1;pippo-java
CWE-264;orbeon-forms;1;orbeon
CWE-20;axis2-java;2;apache
CWE-264;cxf;1;apache
CWE-611;itext7;1;itext
CWE-264;spring-framework;3;spring-projects
CWE-297;pgjdbc;1;pgjdbc
CWE-352;uaa;4;cloudfoundry
CWE-264;cordova-android;1;apache
CWE-863;geode;7;apache
CWE-835;netty;2;netty
CWE-22;hadoop;13;apache
CWE-20;spring-data-commons;2;spring-projects
CWE-79;jenkins;3;jenkinsci
CWE-200;email-ext-plugin;1;jenkinsci
CWE-835;tika;3;apache
CWE-284;commons-fileupload;2;apache
CWE-755;tomcat;2;apache
CWE-611;ccm-plugin;1;jenkinsci
CWE-22;zt-zip;1;zeroturnaround
CWE-668;tomcat85;1;apache
CWE-863;git-plugin;1;jenkinsci
CWE-264;tomcat;17;apache
CWE-611;onos;2;opennetworkinglab
CWE-16;restlet-framework-java;3;restlet
CWE-79;tomcat;4;apache
CWE-184;jackson-databind;8;FasterXML
NVD-CWE-Other;pdfbox;1;apache
CWE-22;DependencyCheck;1;jeremylong
CWE-22;camel;4;apache
CWE-352;cxf-fediz;5;apache
CWE-89;hive;2;apache
CWE-200;jetty.project;2;eclipse
CWE-269;uaa;14;cloudfoundry
CWE-79;jolokia;1;rhuss
CWE-434;tomcat;1;apache
CWE-20;ognl;1;jkuhnert
CWE-863;mercurial-plugin;1;jenkinsci
CWE-22;activemq;2;apache
CWE-20;qpid-broker-j;4;apache
NVD-CWE-noinfo;tika;7;apache
CWE-119;tomcat;3;apache
CWE-22;FileDownloader;1;lingochamp
CWE-19;tomcat70;1;apache
CWE-319;nifi;1;apache
CWE-352;saltstack-plugin;1;jenkinsci
CWE-19;bc-java;1;bcgit
CWE-399;netty;1;netty
CWE-200;tomcat80;1;apache
CWE-254;conscrypt;2;platform
NVD-CWE-noinfo;spring-framework;9;spring-projects
CWE-79;nifi;1;apache
CWE-345;async-http-client;3;AsyncHttpClient
CWE-306;cassandra;1;beobal
CWE-352;projectforge-webapp;1;micromata
CWE-352;geronimo;3;apache
CWE-918;jenkins;1;jenkinsci
CWE-434;hawtio;1;hawtio
CWE-755;tomcat70;2;apache
CWE-78;nmap4j;1;narkisr
CWE-611;checkstyle-plugin;1;jenkinsci
CWE-79;wicket;1;apache
None;tomcat55;1;apache
CWE-863;google-play-android-publisher-plugin;1;jenkinsci
NVD-CWE-Other;tomcat55;2;apache
CWE-20;spring-amqp;1;spring-projects
None;javamelody;2;javamelody
CWE-601;keycloak;1;keycloak
CWE-254;santuario-java;1;apache
NVD-CWE-noinfo;JGroups;3;belaban
CWE-310;tomcat55;1;apache
CWE-287;karaf;2;apache
CWE-502;batik;1;apache
CWE-287;hive;2;apache
CWE-613;uaa;1;cloudfoundry
None;tomcat70;1;apache
CWE-200;atlas;1;apache
CWE-20;hadoop;2;apache
CWE-200;bc-java;4;bcgit
CWE-189;tomcat70;14;apache
NVD-CWE-Other;cordova-android;1;apache
CWE-200;orientdb;1;orientechnologies
None;rabbitmq-jms-client;1;rabbitmq
CWE-287;hbase;1;apache
CWE-1188;tomcat;1;apache
CWE-22;hutool;3;looly
CWE-287;jenkins;4;jenkinsci
CWE-388;tomcat85;1;apache
NVD-CWE-noinfo;pdfbox;3;apache
CWE-532;ssh-agent-plugin;1;jenkinsci
CWE-404;tomcat85;1;apache
CWE-434;tomcat85;3;apache
CWE-863;tomcat70;1;apache
CWE-264;wss4j;1;apache
CWE-94;spring-framework;5;spring-projects
CWE-264;uaa;8;cloudfoundry
CWE-89;spring-data-jpa;1;spring-projects
NVD-CWE-Other;cordova-plugin-file-transfer;3;apache
CWE-863;undertow;2;undertow-io
CWE-16;struts;1;apache
CWE-79;syncope;3;apache
CWE-611;cayenne;1;apache
NVD-CWE-Other;Resteasy;1;ronsigal
CWE-22;struts;2;apache
CWE-203;jetty.project;3;eclipse
CWE-203;tomcat;1;apache
CWE-310;esapi-java-legacy;2;ESAPI
CWE-287;cxf;4;apache
CWE-264;elasticsearch;1;elastic
CWE-502;jenkins;3;jenkinsci
CWE-20;cxf-fediz;3;apache
CWE-611;camel;12;apache
CWE-611;umlet;1;umlet
CWE-829;spring-framework;2;spring-projects
None;swagger-codegen;9;swagger-api
CWE-203;tomcat80;1;apache
CWE-20;struts;33;apache
CWE-352;spring-social;1;spring-projects
CWE-470;hibernate-validator;3;hibernate
CWE-22;spring-integration-extensions;2;spring-projects
CWE-835;jenkins;2;jenkinsci
CWE-352;spring-framework;4;spring-projects
CWE-755;tomcat80;2;apache
CWE-399;cxf;3;apache
CWE-862;depgraph-view-plugin;1;jenkinsci
CWE-611;syncope;3;apache
CWE-502;tomee;1;apache
CWE-388;tomcat;1;apache
CWE-89;uaa;7;cloudfoundry
CWE-502;bc-java;2;bcgit
CWE-611;junit-plugin;1;jenkinsci
None;pdfbox;4;apache
CWE-264;hibernate-validator;8;hibernate
NVD-CWE-Other;drools;1;droolsjbpm
CWE-295;cxf;1;apache
CWE-200;kubernetes-plugin;1;jenkinsci
NVD-CWE-noinfo;cxf;6;apache
CWE-89;ranger;2;apache
CWE-295;activemq;1;apache
CWE-78;jenkins;1;jenkinsci
CWE-611;activemq-artemis;1;apache
CWE-94;camel;5;apache
CWE-354;bc-java;1;bcgit
CWE-79;monitoring-plugin;1;jenkinsci
CWE-284;tomcat85;2;apache
CWE-189;tomcat55;3;apache
CWE-287;lucene-solr;5;apache
CWE-310;commons-compress;10;apache
CWE-78;ec2-plugin;1;jenkinsci
CWE-20;oozie;1;apache
CWE-611;activemq-apollo;1;apache
CWE-77;jenkins;1;jenkinsci
CWE-611;spring-integration;1;spring-projects
None;jetty.project;9;eclipse
CWE-78;plexus-utils;1;codehaus-plexus
CWE-212;ovirt-engine;2;ovirt-engine
CWE-200;syncope;3;apache
CWE-254;spring-framework;2;spring-projects
CWE-284;ambari;1;apache
CWE-611;pmd-plugin;1;jenkinsci
CWE-362;tomcat;1;apache
CWE-22;geronimo;3;apache
CWE-362;core;3;weld
CWE-79;struts;4;apache
CWE-384;jetty.project;1;eclipse
CWE-502;brooklyn-server;1;apache
CWE-502;logging-log4j2;1;apache
CWE-310;cxf;1;apache
CWE-521;ldapsdk;1;pingidentity
CWE-94;geronimo;1;apache
CWE-611;sling;1;apache
CWE-502;groovy;1;apache
CWE-22;OpenRefine;1;OpenRefine
NVD-CWE-Other;httpcomponents-client;1;apache
CWE-20;prime-jwt;2;inversoft
CWE-502;wicket;1;apache
NVD-CWE-Other;tomcat;14;apache
None;struts;1;apache
NVD-CWE-noinfo;tomcat80;5;apache
None;org.eclipse.hudson.core;2;r
CWE-20;xstream;3;x-stream
CWE-119;spring-framework;1;spring-projects
None;conscrypt;1;google
CWE-20;cxf;2;apache
NVD-CWE-noinfo;xerces2-j;2;apache
CWE-434;tomcat80;1;apache
CWE-611;uima-uimaj;1;apache
CWE-320;bc-java;1;bcgit
CWE-200;directory-ldap-api;2;apache
CWE-287;tomcat55;1;apache
CWE-755;tomcat85;2;apache
CWE-310;jenkins;1;jenkinsci
CWE-362;jenkins;3;jenkinsci
CWE-22;elasticsearch;1;elastic
CWE-22;tomcat70;4;apache
None;commons-compress;1;apache
CWE-502;ignite;3;apache
CWE-284;tomcat70;2;apache
CWE-284;tomcat;2;apache
None;spring-amqp;2;spring-projects
CWE-404;tomcat;1;apache
CWE-79;sling-org-apache-sling-xss;1;apache
CWE-863;gerrit-trigger-plugin;2;jenkinsci
CWE-399;Openfire;1;igniterealtime
CWE-1188;spring-webflow;5;spring-projects
CWE-345;tomcat70;1;apache
NVD-CWE-Other;ambari;1;apache
CWE-20;jackrabbit;7;apache
CWE-310;bc-java;4;bcgit
CWE-399;tapestry-5;1;apache
CWE-611;activemq;1;apache
CWE-200;tomcat70;4;apache
CWE-200;jenkins;6;jenkinsci
CWE-295;uaa;3;cloudfoundry
CWE-399;httpcomponents-client;3;apache
CWE-79;antisamy;2;nahsra
NVD-CWE-noinfo;lucene-solr;3;apache
CWE-200;activemq;3;apache
CWE-22;onos;1;opennetworkinglab
CWE-399;santuario-java;1;apache
NVD-CWE-noinfo;spring-security-oauth;4;spring-projects
CWE-611;lucene-solr;18;apache
NVD-CWE-noinfo;tomcat;9;apache
CWE-287;shiro;1;apache
CWE-611;javamelody;1;javamelody
CWE-502;jackson-databind;7;FasterXML
CWE-502;buck;1;facebook
None;deeplearning4j;1;deeplearning4j
CWE-79;spring-framework;3;spring-projects
CWE-200;tika;1;apache
None;zeppelin;1;apache
CWE-361;bc-java;2;bcgit
CWE-264;tomcat55;4;apache
CWE-601;tomcat;1;apache
CWE-79;javamelody;1;javamelody
CWE-863;subversion-plugin;1;jenkinsci
NVD-CWE-Other;xerces2-j;1;apache
CWE-862;jenkins;1;jenkinsci
CWE-863;tomcat;1;apache
CWE-20;tomcat70;5;apache
CWE-668;tomcat70;1;apache
CWE-284;pljava;1;tada
CWE-284;tomcat80;2;apache
CWE-287;kafka;3;apache
NVD-CWE-noinfo;onos;1;opennetworkinglab
NVD-CWE-noinfo;storm;4;apache
CWE-863;tomcat85;1;apache
CWE-22;blynk-server;1;blynkkk
CWE-295;okhttp;3;square
CWE-94;hawtjni;1;fusesource
CWE-20;spring-data-rest;2;spring-projects
CWE-19;tomcat;1;apache
CWE-287;tomcat;1;apache
None;primefaces;2;primefaces
CWE-255;activemq;1;apache
CWE-264;candlepin;1;candlepin
NVD-CWE-noinfo;derby;2;apache
CWE-20;tomcat80;2;apache
None;commons-fileupload;1;apache
CWE-22;tomcat55;2;apache
CWE-200;sonarqube;1;SonarSource
CWE-611;karaf;2;apache
CWE-862;favorite-plugin;1;jenkinsci
CWE-327;bc-java;2;bcgit
CWE-20;spring-security;3;spring-projects
CWE-190;jetty.project;1;eclipse
None;tomee;1;apache
CWE-19;spring-security-oauth;1;spring-projects
CWE-319;wildfly;1;wildfly
CWE-287;keycloak;1;keycloak
CWE-611;android-lint-plugin;1;jenkinsci
CWE-502;jython;1;jythontools
CWE-20;struts1-forever;2;kawasima
NVD-CWE-noinfo;struts;8;apache
CWE-22;rdf4j;1;eclipse
CWE-502;camel;19;apache
CWE-264;commons-fileupload;1;apache
CWE-770;guava;1;google
CWE-284;elasticsearch;3;elastic
CWE-611;WxJava;1;Wechat-Group
None;sonarqube;1;SonarSource
NVD-CWE-Other;batik;1;apache
CWE-22;vertx-web;1;vert-x3
CWE-863;spring-security;2;spring-projects
NVD-CWE-noinfo;jackson-dataformat-xml;1;FasterXML
CWE-601;uaa;6;cloudfoundry
CWE-22;tomcat85;1;apache
CWE-287;spring-security;5;spring-projects
CWE-20;activemq;10;apache
CWE-532;pipeline-build-step-plugin;1;jenkinsci
NVD-CWE-noinfo;spring-cloud-sso-connector;1;pivotal-cf
CWE-200;jasypt;1;jboss-fuse
CWE-502;struts;2;apache
CWE-310;tomcat;1;apache
None;httpcomponents-client;1;apache
CWE-119;tomcat55;1;apache
CWE-20;tomcat;12;apache
CWE-20;httpcomponents-client;2;apache
CWE-22;plexus-archiver;1;codehaus-plexus
CWE-863;ownership-plugin;1;jenkinsci
NVD-CWE-noinfo;tomcat85;6;apache
CWE-295;tomcat;1;apache
CWE-79;tomcat55;1;apache
CWE-611;retrofit;1;square
None;jackson-databind;2;FasterXML
CWE-770;spring-data-commons;2;spring-projects
CWE-16;spring-framework;3;spring-projects
NVD-CWE-Other;jbpm-designer;4;kiegroup
CWE-91;dom4j;1;dom4j
CWE-79;cxf;6;apache
CWE-287;infinispan;1;infinispan
CWE-22;retrofit;1;square
CWE-200;telephony;1;platform
CWE-79;sling;1;apache
None;spring-framework;1;spring-projects
CWE-287;neo4j;1;neo4j
CWE-776;poi;1;apache
CWE-611;cxf;3;apache
CWE-203;tomcat85;1;apache
CWE-200;portals-pluto;1;apache
CWE-22;spring-framework;15;spring-projects
CWE-352;jenkins;3;jenkinsci
CWE-502;spring-amqp;4;spring-projects
CWE-352;vertx-web;2;vert-x3
CWE-352;struts;2;apache
CWE-22;wildfly-core;1;wildfly
CWE-200;hive;1;apache
NVD-CWE-noinfo;tomcat70;5;apache
CWE-264;keycloak;1;keycloak
CWE-502;tika;1;apache
CWE-79;ofbiz;17;apache
NVD-CWE-Other;tomcat70;1;apache
CWE-264;jenkins;3;jenkinsci
None;activemq;2;apache
CWE-200;git-client-plugin;1;jenkinsci
CWE-119;netty;1;netty
CWE-200;tomcat85;2;apache
NVD-CWE-noinfo;uaa;11;cloudfoundry
CWE-20;tomcat55;1;apache
CWE-189;tomcat;2;apache
CWE-295;spring-amqp;3;spring-projects
CWE-113;undertow;2;undertow-io
CWE-78;opentsdb;1;OpenTSDB
CWE-284;hbase;1;apache
CWE-200;base;1;platform
CWE-362;hbase;5;apache
CWE-611;tika;1;apache
NVD-CWE-Other;poi;9;apache
None;spring-security;1;spring-projects
CWE-863;promoted-builds-plugin;1;jenkinsci
CWE-264;struts;6;apache
CWE-388;tomcat70;1;apache
CWE-399;poi;1;apache
CWE-862;tikal-multijob-plugin;2;jenkinsci
CWE-287;activemq;1;apache
CWE-835;undertow;1;undertow-io
NVD-CWE-noinfo;ofbiz;4;apache
CWE-345;tomcat;1;apache
None;nifi;2;apache
CWE-20;async-http-client;1;AsyncHttpClient
CWE-502;spring-security;2;spring-projects
CWE-190;jBCrypt;1;djmdjm
CWE-611;OpenRefine;1;OpenRefine
CWE-502;logback;1;qos-ch
None;hadoop;19;apache
CWE-200;tomcat;4;apache
CWE-295;qpid-proton-j;1;apache
NVD-CWE-Other;tomcat80;2;apache
CWE-269;karaf;1;apache
CWE-352;mailer-plugin;1;jenkinsci
CWE-20;libpam4j;1;letonez
CWE-611;jackson-dataformat-xml;1;FasterXML
CWE-79;axis1-java;1;apache
CWE-388;tomcat80;1;apache
CWE-264;xalan-j;1;apache
CWE-863;tomcat80;1;apache
CWE-22;tomcat;10;apache
CWE-345;tomcat80;1;apache
CWE-611;UA-Java;1;OPCFoundation
CWE-264;tomcat80;3;apache
CWE-22;tika;1;apache
NVD-CWE-noinfo;jenkins;5;jenkinsci
CWE-668;tomcat80;1;apache
CWE-203;tomcat70;1;apache
CWE-755;cxf;2;apache
CWE-119;tomcat85;1;apache
CWE-352;jolokia;1;rhuss
CWE-347;bc-java;2;bcgit
CWE-79;geronimo;3;apache
CWE-668;tomcat;1;apache
CWE-20;commons-fileupload;1;apache
CWE-203;bc-java;1;bcgit
CWE-74;jolokia;2;rhuss
CWE-22;storm;4;apache
CWE-264;jboss-seam;1;seam2
CWE-19;camel;25;apache
CWE-79;activemq;6;apache
CWE-264;camel;6;apache
CWE-20;syncope;3;apache
CWE-522;coverity-plugin;1;jenkinsci
CWE-20;jenkins;1;jenkinsci
CWE-20;core-1;1;pslegr
None;itextpdf;1;itext
CWE-611;nifi;1;apache
CWE-400;undertow;2;undertow-io
CWE-287;spring-ldap;1;spring-projects
CWE-552;spring-framework;3;spring-projects
CWE-20;ofbiz;1;apache
CWE-310;bc-java;2;repositories
CWE-284;shiro;2;apache
CWE-200;uaa;2;cloudfoundry
CWE-20;nifi;1;apache
CWE-200;Exchange;1;platform
CWE-502;spark;6;apache
CWE-79;wicket-jquery-ui;12;sebfz1
CWE-200;httpcomponents-client;1;apache
CWE-835;commons-compress;2;apache
CWE-19;beanshell;2;beanshell
CWE-399;activemq;1;apache
CWE-269;groovy-sandbox;2;jenkinsci
NVD-CWE-noinfo;santuario-java;2;apache
CWE-200;hadoop;1;apache
NVD-CWE-Other;camel;2;apache
CWE-640;uaa;2;cloudfoundry
CWE-22;tomcat80;4;apache
NVD-CWE-noinfo;ansible-plugin;1;jenkinsci
CWE-74;groovy;1;apache
CWE-264;openjpa;9;apache
CWE-835;junrar;1;junrar
CWE-20;tomcat85;2;apache
CWE-352;activemq;1;apache
CWE-399;tomcat;4;apache
CWE-74;java-cas-client;2;apereo
CWE-613;keycloak;1;keycloak
CWE-434;tomcat70;5;apache
NVD-CWE-noinfo;hive;3;apache
CWE-79;uaa;1;cloudfoundry
CWE-611;vertx-web;2;vert-x3
None;gson;1;google
CWE-264;tomcat70;10;apache
CWE-77;cassandra;1;apache
CWE-94;spring-security-oauth;4;spring-projects
CWE-611;xmlbeam;1;SvenEwald
CWE-399;tomcat70;1;apache
CWE-611;androidsvg;1;BigBadaboom
CWE-611;batik;2;apache
CWE-384;cxf;1;apache
CWE-284;cxf-fediz;1;apache
