F:\Valentino\Progetti_da_buildare_2\tomcat4132b15beb3d977be0c5d7e0966d477db2ec8d72\pom.xml4132b15beb3d977be0c5d7e0966d477db2ec8d72;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\tomcat2835bb4e030c1c741ed0847bb3b9c3822e4fbc8a\pom.xml2835bb4e030c1c741ed0847bb3b9c3822e4fbc8a;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\tomcated4b9d791f9470e4c3de691dd0153a9ce431701b\pom.xmled4b9d791f9470e4c3de691dd0153a9ce431701b;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\struts9fcbd912bc9ba8eed1ca9bc9422daf79d8b2f6ac\pom.xml9fcbd912bc9ba8eed1ca9bc9422daf79d8b2f6ac;1.7
F:\Valentino\Progetti_da_buildare_2\struts4c386c663cf094a6d40d90c56c5983e14d518c26\pom.xml4c386c663cf094a6d40d90c56c5983e14d518c26;1.7
F:\Valentino\Progetti_da_buildare_2\tomcat970c23bfd24dfa1dcb86ed917e6c8b47dcfb4433\pom.xml970c23bfd24dfa1dcb86ed917e6c8b47dcfb4433;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\tomcat769477b9bc8442db3f571385fa0c3e206242cbf1\pom.xml769477b9bc8442db3f571385fa0c3e206242cbf1;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\tomcatf646a5acd5e32d6f5a2d9bf1d94ca66b65477675\pom.xmlf646a5acd5e32d6f5a2d9bf1d94ca66b65477675;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\struts6b8272ce47160036ed120a48345d9aa884477228\pom.xml6b8272ce47160036ed120a48345d9aa884477228;1.7
F:\Valentino\Progetti_da_buildare_2\tomcatebe5c16f18ce1559e8462a94b3876a98525980d2\pom.xmlebe5c16f18ce1559e8462a94b3876a98525980d2;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\tomcate31233a09fd25b60cd27a114e78fbb698a6090ff\pom.xmle31233a09fd25b60cd27a114e78fbb698a6090ff;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\struts9d47af6ffa355977b5acc713e6d1f25fac260a2\pom.xml9d47af6ffa355977b5acc713e6d1f25fac260a2;1.7
F:\Valentino\Progetti_da_buildare_2\prime-jwtabb0d479389a2509f939452a6767dc424bb5e6ba\pom.xmlabb0d479389a2509f939452a6767dc424bb5e6ba;1.8
F:\Valentino\Progetti_da_buildare_2\struts1a8111e0ea8d5183b830ea73352a2e0b0cbe3d86\pom.xml1a8111e0ea8d5183b830ea73352a2e0b0cbe3d86;1.7
F:\Valentino\Progetti_da_buildare_2\tomcate8cc1e6ef11a779313ab467a8410feabfdb4d8bf\pom.xmle8cc1e6ef11a779313ab467a8410feabfdb4d8bf;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\struts931df54ab379bf4eb5a625bf05066b8563c3737b\pom.xml931df54ab379bf4eb5a625bf05066b8563c3737b;1.7
F:\Valentino\Progetti_da_buildare_2\struts1fec084542c3bfe9c6733a947b3798210f73f8e8\pom.xml1fec084542c3bfe9c6733a947b3798210f73f8e8;1.7
F:\Valentino\Progetti_da_buildare_2\tomcatad3b34a290a0255d2a4c356a3611ab41ed9d04f5\pom.xmlad3b34a290a0255d2a4c356a3611ab41ed9d04f5;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\tomcat6513dbd4a1751fdabfba97c97a60f7086ebb3082\pom.xml6513dbd4a1751fdabfba97c97a60f7086ebb3082;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\strutsb3bad5ea44f3fd9edb2cb491192c5900f46d45d\pom.xmlb3bad5ea44f3fd9edb2cb491192c5900f46d45d;1.7
F:\Valentino\Progetti_da_buildare_2\struts7f90a4fec9e6718621c4f195fe7a334d43d8a2bb\pom.xml7f90a4fec9e6718621c4f195fe7a334d43d8a2bb;1.7
F:\Valentino\Progetti_da_buildare_2\tomcat8884dae60ace77a87ed9385442ce429e98c3a479\pom.xml8884dae60ace77a87ed9385442ce429e98c3a479;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\struts554b9dddb0fbd1e581ef577dd62a7c22955ad0f6\pom.xml554b9dddb0fbd1e581ef577dd62a7c22955ad0f6;1.7
F:\Valentino\Progetti_da_buildare_2\prime-jwt0d94dcef0133d699f21d217e922564adbb83a227\pom.xml0d94dcef0133d699f21d217e922564adbb83a227;1.8
F:\Valentino\Progetti_da_buildare_2\strutsc9d20b573efbdd74e683c767663b2bd02cea5fd7\pom.xmlc9d20b573efbdd74e683c767663b2bd02cea5fd7;1.7
F:\Valentino\Progetti_da_buildare_2\tomcat94155efccd19fc3338433c63cfa5430e2d1ae00a\pom.xml94155efccd19fc3338433c63cfa5430e2d1ae00a;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\tomcat03d1f33ee8f7e6b2fb7aa86edd7a43f3a240aa42\pom.xml03d1f33ee8f7e6b2fb7aa86edd7a43f3a240aa42;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\struts6e87474f9ad0549f07dd2c37d50a9ccd0977c6e\pom.xml6e87474f9ad0549f07dd2c37d50a9ccd0977c6e;1.7
F:\Valentino\Progetti_da_buildare_2\prime-jwt8d73248b7e4c8bdeed807a9be89ea51d348764e0\pom.xml8d73248b7e4c8bdeed807a9be89ea51d348764e0;1.8
F:\Valentino\Progetti_da_buildare_2\tomcat332877b4a6bc1d6fff287bc380111db28cea3030\pom.xml332877b4a6bc1d6fff287bc380111db28cea3030;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\strutsa05259ed69a5a48379aa91650e4cd1cb4bd6e5a\pom.xmla05259ed69a5a48379aa91650e4cd1cb4bd6e5a;1.7
F:\Valentino\Progetti_da_buildare_2\struts6efaf900d4ffb7be8a74065af5553bad2389f72\pom.xml6efaf900d4ffb7be8a74065af5553bad2389f72;1.7
F:\Valentino\Progetti_da_buildare_2\Openfirec9cd1e521673ef0cccb8795b78d3cbaefb8a576a\pom.xmlc9cd1e521673ef0cccb8795b78d3cbaefb8a576a;1.8
F:\Valentino\Progetti_da_buildare_2\Openfire9d4ff701f3e7871d0a1addb146fe7c8da1825a40\pom.xml9d4ff701f3e7871d0a1addb146fe7c8da1825a40;1.8
F:\Valentino\Progetti_da_buildare_2\tomcat43e1c5d08f8eaf25bc5d7e706c4c52688d36b021\pom.xml43e1c5d08f8eaf25bc5d7e706c4c52688d36b021;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\prime-jwt7c9474a493e00ba184df370fc87d8f87ac00904a\pom.xml7c9474a493e00ba184df370fc87d8f87ac00904a;1.8
F:\Valentino\Progetti_da_buildare_2\libpam4j84f32f4001fc6bdcc125ccc959081de022d18b6d\pom.xml84f32f4001fc6bdcc125ccc959081de022d18b6d;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\struts4260bee634cb606be6071bce2383fddb510608aa\pom.xml4260bee634cb606be6071bce2383fddb510608aa;1.7
F:\Valentino\Progetti_da_buildare_2\strutsb3bad5ea44f3fd9edb2cb491192c5900f46d45d3\pom.xmlb3bad5ea44f3fd9edb2cb491192c5900f46d45d3;1.7
F:\Valentino\Progetti_da_buildare_2\tomcat804fec853b560598d83b50686575bfedcf43d04a\pom.xml804fec853b560598d83b50686575bfedcf43d04a;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\strutsff6148795ac52e6de5b80c01e7a1a0cc4da61857\pom.xmlff6148795ac52e6de5b80c01e7a1a0cc4da61857;1.7
F:\Valentino\Progetti_da_buildare_2\tomcatfffd63a3bd3a5475379b7c074820a5463b7663b3\pom.xmlfffd63a3bd3a5475379b7c074820a5463b7663b3;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\tomcatd71140268e3a7b66d8dd89f12673a1da329df628\pom.xmld71140268e3a7b66d8dd89f12673a1da329df628;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\strutsf487d7e7d69c767949a59f36ceb5a45d96eb32dd\pom.xmlf487d7e7d69c767949a59f36ceb5a45d96eb32dd;1.7
F:\Valentino\Progetti_da_buildare_2\struts9d47af6ffa355977b5acc713e6d1f25fac260a28\pom.xml9d47af6ffa355977b5acc713e6d1f25fac260a28;1.7
F:\Valentino\Progetti_da_buildare_2\struts637ad1c3707266c33daabb18d7754e795e6681f\pom.xml637ad1c3707266c33daabb18d7754e795e6681f;1.7
F:\Valentino\Progetti_da_buildare_2\struts0d6442bab5b44d93c4c2e63c5335f0a331333b9\pom.xml0d6442bab5b44d93c4c2e63c5335f0a331333b9;1.7
F:\Valentino\Progetti_da_buildare_2\tomcat4545dcce444aa619374a659cb450dbbd0be3c921\pom.xml4545dcce444aa619374a659cb450dbbd0be3c921;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\struts418a20c0594f23764fe29ced400c1219239899a\pom.xml418a20c0594f23764fe29ced400c1219239899a;1.7
F:\Valentino\Progetti_da_buildare_2\tomcatd83a76732e6804739b81d8b2056365307637b42d\pom.xmld83a76732e6804739b81d8b2056365307637b42d;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\struts19494718865f2fb7da5ea363de3822f87fbda26\pom.xml19494718865f2fb7da5ea363de3822f87fbda26;1.7
F:\Valentino\Progetti_da_buildare_2\tomcat313ba522851a32e798d94c7250e1ec80a1d30a22\pom.xml313ba522851a32e798d94c7250e1ec80a1d30a22;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\tomcatce70ee6b8fe437a498a375215011056702b0c481\pom.xmlce70ee6b8fe437a498a375215011056702b0c481;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\tomcat5517c5517e8a7ddb994504f0c5c05001a376b10c\pom.xml5517c5517e8a7ddb994504f0c5c05001a376b10c;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\tomcat913d94b289e056107e521dbab8e79cc72a62a331\pom.xml913d94b289e056107e521dbab8e79cc72a62a331;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\libpam4jbf826bbb48a118b8e42c45cd87abb1cf415d4239\pom.xmlbf826bbb48a118b8e42c45cd87abb1cf415d4239;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\struts67ecf3a21608e20449bcb7895b22204b400fecd4\pom.xml67ecf3a21608e20449bcb7895b22204b400fecd4;1.7
F:\Valentino\Progetti_da_buildare_2\strutsa245226b7f1fa2a2cd94508b132f0220989c1e5b\pom.xmla245226b7f1fa2a2cd94508b132f0220989c1e5b;1.7
F:\Valentino\Progetti_da_buildare_2\struts8a04e80f01350c90f053d71366d5e0c2186fded\pom.xml8a04e80f01350c90f053d71366d5e0c2186fded;1.7
F:\Valentino\Progetti_da_buildare_2\tomcatefb860b3ff8ebcf606199b8d0d432f76898040da\pom.xmlefb860b3ff8ebcf606199b8d0d432f76898040da;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\struts8a04e80f01350c90f053d71366d5e0c2186fded5\pom.xml8a04e80f01350c90f053d71366d5e0c2186fded5;1.7
F:\Valentino\Progetti_da_buildare_2\strutseb71d8869648fdd6418d10f4fc07ef83f9180792\pom.xmleb71d8869648fdd6418d10f4fc07ef83f9180792;1.7
